Host,Species,Assembly,SRA_Accession,Submitters,Release_Date,Isolate,Genus,Family,Molecule_type,Sequence_Type,Genotype,Segment,Publications,Geo_Location,Country,USA,Isolation_Source,Collection_Date,BioSample,GenBank_Title,Species_superkingdom,Species_clade,Species_kingdom,Species_phylum,Species_class,Species_order,Species_family,Species_genus,Species_species,Species_no rank,Host_no rank,Host_superkingdom,Host_clade,Host_kingdom,Host_phylum,Host_subphylum,Host_superclass,Host_class,Host_infraclass,Host_order,Host_family,Host_genus,Host_species,Host_superorder,Host_suborder,Host_subfamily,Host_superfamily,Host_subspecies,Host_subclass,Host_cohort,Host_infraorder,Host_tribe,Host_subgenus,Host_parvorder,Host_subcohort
Petrochirus diogenes,Petrochirus diogenes giant hermit crab associated circular virus,GCF_001274365.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-26T01:07:13Z,I0004A,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293727,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Petrochirus diogenes giant hermit crab associated circular virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Crustacea,Multicrustacea,Multicrustacea,,Eucarida,Paguroidea,Petrochirus,Petrochirus diogenes,Eucarida,Pleocyemata,,Paguroidea,,Eumalacostraca,,Anomura,,,,
Plecotus auritus,Bat associated circovirus 5,GCF_002819505.1,NA,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2018-08-25T01:01:57Z,BtPa-CV-1/NX2013,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China,China,NA,NA,2013-06,NA,ASM281950v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Bat associated circovirus 5,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Vespertilionidae,Plecotus,Plecotus auritus,Laurasiatheria,Microchiroptera,,,,,,,,,,
Plecotus auritus,Bat associated cyclovirus 13,GCF_002819805.1,NA,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2018-08-25T01:03:05Z,BtPa-CV-2/NX2013,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China,China,NA,NA,2013-06,NA,ASM281980v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Bat associated cyclovirus 13,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Vespertilionidae,Plecotus,Plecotus auritus,Laurasiatheria,Microchiroptera,,,,,,,,,,
Primnoa pacifica,Primnoa pacifica coral associated circular virus,GCF_001274245.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-26T01:04:57Z,I0345,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293726,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Primnoa pacifica coral associated circular virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Cnidaria,,Anthozoa,Anthozoa,,Alcyonacea,Primnoidae,Primnoa,Primnoa pacifica,,Calcaxonia,,,,Octocorallia,,,,,,
Pteropus tonganus,Bat associated cyclovirus 15,GCF_002819845.1,NA,"Male,M.F., Kraberger,S., Stainton,D., Kami,V., Varsani,A.",2018-08-25T01:03:08Z,Tbat_H_88317,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,Tonga,Tonga,NA,feces,2015,NA,ASM281984v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Bat associated cyclovirus 15,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Pteropodidae,Pteropus,Pteropus tonganus,Laurasiatheria,Megachiroptera,Pteropodinae,,,,,,,,,
Pteropus tonganus,Bat associated cyclovirus 16,GCF_002819865.1,NA,"Male,M.F., Kraberger,S., Stainton,D., Kami,V., Varsani,A.",2018-08-25T01:03:12Z,Tbat_K_103923,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,Tonga,Tonga,NA,feces,2015,NA,ASM281986v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Bat associated cyclovirus 16,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Pteropodidae,Pteropus,Pteropus tonganus,Laurasiatheria,Megachiroptera,Pteropodinae,,,,,,,,,
Pteropus tonganus,Bat associated cyclovirus 14,GCF_002819825.1,NA,"Male,M.F., Kraberger,S., Stainton,D., Kami,V., Varsani,A.",2018-08-25T01:03:11Z,Tbat_H_103699,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,Tonga,Tonga,NA,feces,2015,NA,ASM281982v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Bat associated cyclovirus 14,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Pteropodidae,Pteropus,Pteropus tonganus,Laurasiatheria,Megachiroptera,Pteropodinae,,,,,,,,,
Pygoscelis adeliae,Penguin circovirus,GCF_018587745.1,NA,"Morandini,V., Dugger,K., Ballard,G., Elrod,M., Schmidt,A., Ruoppolo,V., Lescroel,A., Jongsomjit,D., Massaro,M., Schmidlin,K., Kraberger,S., Ainley,D., Varsani,A.",2021-06-01T16:46:20Z,Croz_chick,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,Antarctica,Antarctica,NA,NA,2018-12,NA,ASM1858774v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Penguin circovirus,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,Neognathae,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,,,,,,,,,,,,
Rattus flavipectus,Rodent associated cyclovirus 1,GCF_004787915.1,NA,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2021-06-01T15:55:41Z,RtRf-CV-2/YN2013,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China,China,NA,NA,2013-07,NA,ASM478791v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Rodent associated cyclovirus 1,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Muridae,Rattus,Rattus flavipectus,Euarchontoglires,Myomorpha,Murinae,,,,,,,,,
Rattus tanezumi sladeni,Rodent associated cyclovirus 2,GCF_004787875.1,NA,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2021-06-01T15:55:22Z,RtRs-CV/YN2013,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China,China,NA,NA,2013-07,NA,ASM478787v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Rodent associated cyclovirus 2,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Muridae,Rattus,Rattus tanezumi,Euarchontoglires,Myomorpha,Murinae,,Rattus tanezumi sladeni,,,,,,,
Rhinolophus affinis,Bat associated circovirus 6,GCF_002819525.1,NA,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2018-08-25T01:02:07Z,BtRa-CV/JS2013,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China,China,NA,NA,2013-04,NA,ASM281952v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Bat associated circovirus 6,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Rhinolophidae,Rhinolophus,Rhinolophus affinis,Laurasiatheria,Microchiroptera,Rhinolophinae,,,,,,,,,
Rhinolophus ferrumequinum,Bat associated cyclovirus 7,GCF_002819725.1,NA,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2018-08-25T01:02:44Z,BtRf-CV-24/YN2010,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China,China,NA,NA,2010-12,NA,ASM281972v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Bat associated cyclovirus 7,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,Laurasiatheria,Microchiroptera,Rhinolophinae,,,,,,,,,
Rhinolophus ferrumequinum,Bat associated circovirus 2,GCF_000908355.1,NA,"He,B., Li,Z., Yang,F., Zheng,J., Feng,Y., Guo,H., Li,Y., Wang,Y., Su,N., Zhang,F., Fan,Q., Tu,C.",2015-02-22T18:41:18Z,XOR7,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Myanmar,Myanmar,NA,NA,2008-11,NA,ViralProj202887,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Bat associated circovirus 2,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,Laurasiatheria,Microchiroptera,Rhinolophinae,,,,,,,,,
Rhinolophus ferrumequinum,Bat associated circovirus 9,GCF_003033015.1,NA,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2018-08-26T16:29:38Z,BtRf-CV-61/YN2010,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China,China,NA,NA,2010-12,NA,ASM303301v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Bat associated circovirus 9,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,Laurasiatheria,Microchiroptera,Rhinolophinae,,,,,,,,,
Rhinolophus ferrumequinum,Bat associated circovirus 1,GCF_002819465.1,NA,"He,B., Li,Z., Yang,F., Zheng,J., Feng,Y., Guo,H., Li,Y., Wang,Y., Su,N., Zhang,F., Fan,Q., Tu,C.",2018-08-25T01:01:52Z,XOR,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Myanmar,Myanmar,NA,NA,2008-11,NA,ASM281946v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Bat associated circovirus 1,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,Laurasiatheria,Microchiroptera,Rhinolophinae,,,,,,,,,
Rhinolophus ferrumequinum,Bat associated circovirus 3,GCF_002819485.1,NA,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q., Hu,Y., Liu,L., Xue,Y., Wang,J.",2018-08-25T01:01:53Z,NA,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,2,China,China,NA,NA,2011-02,NA,ASM281948v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Bat associated circovirus 3,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,Laurasiatheria,Microchiroptera,Rhinolophinae,,,,,,,,,
Rhinolophus pusillus,Bat associated cyclovirus 6,GCF_002819705.1,NA,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2018-08-25T01:02:38Z,BtRp-CV-3/GD2012,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China,China,NA,NA,2012-12,NA,ASM281970v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Bat associated cyclovirus 6,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Rhinolophidae,Rhinolophus,Rhinolophus pusillus,Laurasiatheria,Microchiroptera,Rhinolophinae,,,,,,,,,
Rhinolophus pusillus,Bat associated cyclovirus 8,GCF_002819745.1,NA,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2018-08-25T01:02:49Z,BtRp-CV-52/GD2012,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China,China,NA,NA,2012-12,NA,ASM281974v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Bat associated cyclovirus 8,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Rhinolophidae,Rhinolophus,Rhinolophus pusillus,Laurasiatheria,Microchiroptera,Rhinolophinae,,,,,,,,,
Rhinolophus sinicus,Bat associated circovirus 7,GCF_002819545.1,NA,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2018-08-25T01:02:05Z,BtRs-CV/HuB2013,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China,China,NA,NA,2013-04,NA,ASM281954v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Bat associated circovirus 7,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Rhinolophidae,Rhinolophus,Rhinolophus sinicus,Laurasiatheria,Microchiroptera,Rhinolophinae,,,,,,,,,
Rhionaeschna multicolor,Dragonfly associated cyclovirus 4,GCF_002819965.1,NA,"Dayaram,A., Potter,K.A., Moline,A.B., Rosenstein,D.D., Marinov,M., Thomas,J.E., Breitbart,M., Rosario,K., Arguello-Astorga,G.R., Varsani,A., Potter,K., Argueello-Astorga,G.R.",2018-08-25T01:10:18Z,DfCyV-4_US-DFKWGX-2012,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,USA,USA,NA,NA,2012-06,NA,ASM281996v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Dragonfly associated cyclovirus 4,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Hexapoda,Insecta,Insecta,Palaeoptera,Odonata,Aeshnoidea,Rhionaeschna,Rhionaeschna multicolor,,Epiprocta,,Aeshnoidea,,Pterygota,,Anisoptera,,,,
Rhionaeschna multicolor,Dragonfly associated cyclovirus 6,GCF_002819985.1,NA,"Dayaram,A., Potter,K.A., Moline,A.B., Rosenstein,D.D., Marinov,M., Thomas,J.E., Breitbart,M., Rosario,K., Arguello-Astorga,G.R., Varsani,A., Potter,K., Argueello-Astorga,G.R.",2018-08-25T01:03:26Z,DfCyV-6_US-DFKWGX-2012,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,USA,USA,NA,NA,2012-06,NA,ASM281998v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Dragonfly associated cyclovirus 6,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Hexapoda,Insecta,Insecta,Palaeoptera,Odonata,Aeshnoidea,Rhionaeschna,Rhionaeschna multicolor,,Epiprocta,,Aeshnoidea,,Pterygota,,Anisoptera,,,,
Rhizomys pruinosus,Rodent associated circovirus 7,GCF_004040795.1,NA,"Tang,H.-B., Jiang,J., Wu,J.",2021-06-01T15:51:05Z,FJ01,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,China: Fujian,China,NA,NA,2014-06,NA,ASM404079v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Rodent associated circovirus 7,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Spalacidae,Rhizomys,Rhizomys pruinosus,Euarchontoglires,Myomorpha,Rhizomyinae,,,,,,,,,
Serinus canaria,Canary circovirus,GCF_000846785.1,NA,"Todd,D., Weston,J., Ball,N.W., Borghmans,B.J., Smyth,J.A., Gelmini,L., Lavazza,A., Phenix,K.V., Weston,J.H., Ypelaar,I.B., Raidal,S.R.",2015-02-12T16:39:08Z,NA,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj14513,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Canary circovirus,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,Neognathae,Passeriformes,Passeroidea,Serinus,Serinus canaria,,,Carduelinae,Passeroidea,,,,,,,,
Sicyonia brevirostris,Sicyonia brevirostris associated circular virus,GCF_001274465.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-26T01:08:18Z,I0722,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293725,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Sicyonia brevirostris associated circular virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Crustacea,Multicrustacea,Multicrustacea,,Eucarida,Penaeoidea,Sicyonia,Sicyonia brevirostris,Eucarida,Dendrobranchiata,,Penaeoidea,,Eumalacostraca,,,,,,
Silurus glanis,European catfish circovirus,GCF_000926295.1,NA,"Lorincz,M., Dan,A., Lang,M., Csaba,G., Toth,A.G., Szekely,C., Csagola,A., Tuboly,T.",2015-02-22T19:06:43Z,H5,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Hungary,Hungary,NA,NA,2011-09-26,NA,ViralProj263599,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,European catfish circovirus,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Actinopterygii,Actinopterygii,Teleostei,Characiphysae,Siluridae,Silurus,Silurus glanis,Characiphysae,Siluroidei,,,,Neopterygii,Otomorpha,,,,,Ostariophysi
Sturnus vulgaris,Starling circovirus,GCF_000868125.1,NA,"Johne,R., Fernandez-de-Luco,D., Hofle,U., Muller,H.",2015-02-13T08:29:26Z,NA,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj16796,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Starling circovirus,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,Neognathae,Passeriformes,Sturnidae,Sturnus,Sturnus vulgaris,,,,,,,,,,,,
Sus scrofa,Po-Circo-like virus 41,GCF_000929675.1,NA,"Shan,T., Li,L., Simmonds,P., Wang,C., Moeser,A., Delwart,E.",2015-02-22T19:11:00Z,NA,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,USA,USA,NA,feces,2010,NA,ViralProj268201,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Po-Circo-like virus 41,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Suidae,Sus,Sus scrofa,Laurasiatheria,Suina,,,,,,,,,,
Sus scrofa,Po-Circo-like virus 51,GCF_000928635.1,NA,"Shan,T., Li,L., Simmonds,P., Wang,C., Moeser,A., Delwart,E.",2015-02-22T19:09:57Z,NA,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,USA,USA,NA,feces,2010,NA,ViralProj268200,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Po-Circo-like virus 51,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Suidae,Sus,Sus scrofa,Laurasiatheria,Suina,,,,,,,,,,
Sus scrofa,Porcine circovirus 3,GCF_001866935.1,NA,"Palinski,R., Pineyro,P., Shang,P., Yuan,F., Guo,R., Fang,Y., Byers,E., Hause,B.M., Hause,B.",2016-11-06T01:01:03Z,NA,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,USA: North Carolina,USA,NC,NA,2015,NA,ViralProj352520,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Porcine circovirus 3,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Suidae,Sus,Sus scrofa,Laurasiatheria,Suina,,,,,,,,,,
Sus scrofa,Porcine circovirus 4,GCF_018587295.1,NA,"Zhang,H.H., Hu,W.Q., Li,J.Y., Liu,T.N., Opriessnig,T., Zhou,J.Y., Xiao,C.T., Xiao,C.-T., Zhang,H.-H., Hu,W.-Q.",2021-06-01T16:44:50Z,NA,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China,China,NA,blood,2019-02,NA,ASM1858729v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Porcine circovirus 4,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Suidae,Sus,Sus scrofa,Laurasiatheria,Suina,,,,,,,,,,
Sus scrofa,Po-Circo-like virus,GCF_000927735.1,NA,"Shan,T., Li,L., Simmonds,P., Wang,C., Moeser,A., Delwart,E.",2015-02-22T19:08:40Z,NA,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,USA,USA,NA,feces,2010,NA,ViralProj268176,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Po-Circo-like virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Suidae,Sus,Sus scrofa,Laurasiatheria,Suina,,,,,,,,,,
Sus scrofa,Porcine stool-associated circular virus 4,GCF_000919035.1,NA,"Cheung,A.K., Ng,T.F., Lager,K.M., Alt,D.P., Delwart,E.L., Pogranichniy,R.M.",2015-02-22T18:55:15Z,CP2,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,USA,USA,NA,feces,2011,NA,ViralProj243495,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Porcine stool-associated circular virus 4,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Suidae,Sus,Sus scrofa,Laurasiatheria,Suina,,,,,,,,,,
Sus scrofa,Porcine stool-associated circular virus 5,GCF_000919675.1,NA,"Cheung,A.K., Ng,T.F., Lager,K.M., Alt,D.P., Delwart,E.L., Pogranichniy,R.M.",2015-02-22T18:56:41Z,CP3,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,USA,USA,NA,feces,2011,NA,ViralProj243494,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Porcine stool-associated circular virus 5,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Suidae,Sus,Sus scrofa,Laurasiatheria,Suina,,,,,,,,,,
Sus scrofa,Porcine circovirus type 1/2a,GCF_000888095.1,NA,"Gagnon,C.A., Music,N., Fontaine,G., Tremblay,D., Harel,J.",2015-02-22T18:11:10Z,FMV08-1114252,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Canada,Canada,NA,NA,2008-09,NA,ViralProj45807,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Porcine circovirus type 1/2a,unclassified Circovirus,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Laurasiatheria,Suidae,Sus,Sus scrofa,Laurasiatheria,Suina,,,,,,,,,,
